2023-05-20 09:25:33.526 [restartedMain] INFO  c.u.j.configuration.StringEncryptorBuilder - Encryptor config not found for property jasypt.encryptor.string-output-type, using default value: base64
2023-05-20 09:25:35.132 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-05-20 09:25:35.156 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2023-05-20 09:25:35.909 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-20 09:25:36.008 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-20 09:25:36.008 [restartedMain] INFO  c.u.j.caching.RefreshScopeRefreshedEventListener - Refreshing cached encryptable property sources on ServletWebServerInitializedEvent
2023-05-20 09:25:36.009 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source systemProperties refreshed
2023-05-20 09:25:36.009 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source systemEnvironment refreshed
2023-05-20 09:25:36.009 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source random refreshed
2023-05-20 09:25:36.009 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source Config resource 'class path resource [application-dev.properties]' via location 'optional:classpath:/' refreshed
2023-05-20 09:25:36.009 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source Config resource 'class path resource [application.properties]' via location 'optional:classpath:/' refreshed
2023-05-20 09:25:36.009 [restartedMain] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source devtools refreshed
2023-05-20 09:25:36.009 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2023-05-20 09:25:36.009 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2023-05-20 09:25:36.010 [restartedMain] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
2023-05-20 09:25:36.352 [restartedMain] INFO  com.yutech.back.BackApplication - Started BackApplication in 7.594 seconds (JVM running for 12.507)
2023-05-20 09:25:54.706 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-20 09:25:54.706 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-20 09:25:54.708 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-05-20 09:25:55.020 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-05-20 09:25:55.506 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-05-20 09:25:55.573 [http-nio-8080-exec-2] INFO  com.yutech.back.interceptor.SuperUsrInterceptor - 00001===未通过token验证
2023-05-20 09:26:05.680 [http-nio-8080-exec-5] INFO  com.yutech.back.common.utils.JwtUtil - 验证token成功，id======00001
2023-05-20 09:26:05.680 [http-nio-8080-exec-5] INFO  com.yutech.back.interceptor.SuperUsrInterceptor - 00001===通过了token验证
2023-05-20 09:26:10.210 [http-nio-8080-exec-9] INFO  com.yutech.back.common.utils.JwtUtil - 验证token成功，id======00001
2023-05-20 09:26:10.210 [http-nio-8080-exec-9] INFO  com.yutech.back.interceptor.SuperUsrInterceptor - 00001===通过了token验证
2023-05-20 09:27:07.064 [http-nio-8080-exec-10] INFO  com.yutech.back.common.utils.JwtUtil - 验证token成功，id======00001
2023-05-20 09:27:07.065 [http-nio-8080-exec-10] INFO  com.yutech.back.interceptor.SuperUsrInterceptor - 00001===通过了token验证
2023-05-20 09:27:47.469 [http-nio-8080-exec-1] INFO  com.yutech.back.common.utils.JwtUtil - 验证token成功，id======00001
2023-05-20 09:27:47.470 [http-nio-8080-exec-1] INFO  com.yutech.back.interceptor.SuperUsrInterceptor - 00001===通过了token验证
2023-05-20 09:28:16.896 [http-nio-8080-exec-2] INFO  com.yutech.back.common.utils.JwtUtil - 验证token成功，id======00001
2023-05-20 09:28:16.896 [http-nio-8080-exec-2] INFO  com.yutech.back.interceptor.SuperUsrInterceptor - 00001===通过了token验证
2023-05-20 09:28:35.331 [http-nio-8080-exec-3] INFO  com.yutech.back.common.utils.JwtUtil - 验证token成功，id======00001
2023-05-20 09:28:35.331 [http-nio-8080-exec-3] INFO  com.yutech.back.interceptor.SuperUsrInterceptor - 00001===通过了token验证
2023-05-20 09:28:35.468 [http-nio-8080-exec-4] INFO  com.yutech.back.common.utils.JwtUtil - 验证token成功，id======00001
2023-05-20 09:28:35.468 [http-nio-8080-exec-4] INFO  com.yutech.back.interceptor.SuperUsrInterceptor - 00001===通过了token验证
